gid,esp_cd,cod_snisb,cod_sar,nmoriginal,nmalternat,nmgenerico,nmligacao,nmespecifi,detipomass,dedominial,dedominio,defiscaliz,nmemp,fonmemp,dtreserv,fodtreserv,nuvolumhm3,fonuvolume,nuperimkm,nuareakm2,nuareaha,nucompgeom,usoprinc,fousoprinc,detipoapr,detipomda,salinidade,regime,nmriocomp,nmufe,nmmun,defonte,desatelite,deversao,deobs,nuvzreg,nuvzlago,nuvzdeflu,cdtipooper,detipooper,fovzlago,fovzdeflu,fovzreg,cobarprin,cotrecho,nuvzrecebe,nuvztransf,deobsvazao,cocda2013,cocda2017
33820.0,62508.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.17734618842532,0.190383746078635,19.0383746078635,1.40721890127453,,,,,,,,PARÁ,ITAITUBA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
26097.0,61820.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,2.90227192740586,0.121619742293443,12.1619742293443,2.34684912262179,,,,,,,,PARÁ,ALTAMIRA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
59644.0,62103.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,0.901307933281194,0.048693823865571,4.86938238655706,1.15182197991954,,,,,,,,PARÁ,NOVO PROGRESSO,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
26979.0,58959.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,6.50400979355445,0.151781785703574,15.1781785703574,4.70782668087768,,,,,,,,PARÁ,SÃO JOÃO DE PIRABAS,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
51143.0,61543.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.41793832911507,0.190086389337958,19.0086389337958,1.56393542612029,,,,,,,,PARÁ,ITAITUBA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
24524.0,61990.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,3.89221672693663,0.244427891408417,24.4427891408417,2.22009082693286,,,,,,,,PARÁ,TAILÂNDIA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
18428.0,62156.0,,,,,,,,Natural,Federal,Terra da União (Unidade de Conservação),,,,,,,,3.33839204715943,0.157680968792285,15.7680968792285,2.37081030148909,,,,,,,,PARÁ,ITAITUBA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
18268.0,62439.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.79894810875615,0.262877933793802,26.2877933793802,1.53945461163773,,,,,,,,PARÁ,JACAREACANGA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
26419.0,61073.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,1.34780991778839,0.085161414245608,8.51614142456078,1.30243579536684,,,,,,,,PARÁ,ITAITUBA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
18389.0,61691.0,,,,,,,,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,1.14236296192622,0.073999764769784,7.3999764769784,1.18423543643606,,,,,,,,PARÁ,ALTAMIRA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
33660.0,62310.0,,,,,,,,Natural,Estadual,Corpo Hídrico Estadual,,,,,,,,2.17735856867566,0.263917874839249,26.3917874839249,1.19521121718133,,,,,,,,PARÁ,CACHOEIRA DO ARARI,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
7026.0,62335.0,,,,,,,,Natural,Federal,Terra da União (Terra Indígena),,,,,,,,2.92146508130634,0.190399651938522,19.0399651938522,1.88806409339585,,,,,,,,PARÁ,JACAREACANGA,,,hid_trecho_massa_dagua_a_bc250k_2015,,,,,,,,,,,,,,,,
