,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
MB0512000,Assen.,PA SANTA RITA DO ITACAIUNAS (MB0512000),MB0512000,6.5292990636343875,6.274927259372299,2,96.10414836595801
MB0513000,Assen.,PA BAGUA (MB0513000),MB0513000,54.933079036098825,54.92040387619748,6,99.9769261797741
MB0514000,Assen.,PA AGUAS CLARAS (MB0514000),MB0514000,14.66054718510788,14.660547032309575,1,99.9999989577585
MB0515000,Assen.,PA SANTA MARIANA (MB0515000),MB0515000,18.59656687063954,18.193534529747012,3,97.83275943513618
MB0516000,Assen.,PA SANTA PAULA (MB0516000),MB0516000,56.45610257163719,55.94298196736271,3,99.09111578571444
MB0517000,Assen.,PA SAO SEBASTIAO (MB0517000),MB0517000,28.2172801804132,26.72562130263126,2,94.71366882901293
MB0519000,Assen.,PA BELAUTO (MB0519000),MB0519000,253.539553918351,253.5395537233313,8,99.99999992308115
MB0520000,Assen.,PA RAINHA II (MB0520000),MB0520000,26.176848166152276,26.176847923915357,2,99.99999907461388
MB0520001,Assen.,PA SALVADOR ALLENDE PIRATININGA (MB0520001),MB0520001,72.6745240085084,72.28526467905219,2,99.46437993950859
MB0524000,Assen.,PA PIROSCA (MB0524000),MB0524000,42.735352638639185,42.73535229234968,5,99.99999918968844
MB0525000,Assen.,PA PEDRO LAURINDO DA SILVA (MB0525000),MB0525000,35.52324656711062,35.48859829872834,2,99.90246311435297
MB0529000,Assen.,PDS JOAO CANUTO II (MB0529000),MB0529000,36.536018593560215,36.53601852741376,2,99.99999981895549
MB0531000,Assen.,PA JAHU (MB0531000),MB0531000,236.4450194874725,236.19783142628023,37,99.89545643138177
MB0534000,Assen.,PA MARAJAI DOS CARAJAS (MB0534000),MB0534000,48.69091489363561,48.4542625737268,1,99.51397027468929
MB0535000,Assen.,PA TRES ILHAS (MB0535000),MB0535000,32.02460688412453,5.946852006983223,4,18.56963312149583
MB0472000,Assen.,PA BACURIZINHO (MB0472000),MB0472000,13.806223568544018,13.554264887198798,3,98.17503548240896
MB0473000,Assen.,PA SOL NASCENTE (MB0473000),MB0473000,58.65536312202939,6.720563884160213,4,11.45771422500349
MB0474000,Assen.,PA CLÉZINHO (MB0474000),MB0474000,46.19483477170601,42.24009733870169,1,91.43900513434335
MT0130000,Assen.,PA ALVORADA (MT0130000),MT0130000,30.27764292870284,1.6673494926001178,1,5.506866886984425
PA0006000,Assen.,PA MIRITIPITANGA (PA0006000),PA0006000,33.85667363614211,33.85667276990528,3,99.99999744145913
PA0016000,Assen.,PA MANOEL CRESCÊNCIO DE SOUZA (PA0016000),PA0016000,188.7203779914455,188.72037574301822,19,99.99999880859328
PA0017000,Assen.,PA COLONIA REUNIDAS (PA0017000),PA0017000,43.64930392092295,43.64930330093578,15,99.99999857961728
PA0019000,Assen.,PA CONCREIN (PA0019000),PA0019000,40.910436709607424,38.529362490966214,5,94.17978782396611
PA0027000,Assen.,PA UNIÃO I (PA0027000),PA0027000,136.36588888801901,136.3658856261205,18,99.9999976079806
PA0028000,Assen.,PA SAO PEDRO (PA0028000),PA0028000,98.23795056974022,98.23794857212182,13,99.99999796655123
PA0030000,Assen.,PA BENEDITO ALVES BANDEIRA (PA0030000),PA0030000,83.03458448887153,83.03458227321181,4,99.9999973316423
PA0055000,Assen.,PA BARCELONA (PA0055000),PA0055000,16.192741963217724,16.192741963217742,4,100.00000000000011
PA0063000,Assen.,PA PARAGOMINAS/FAISCÃO (PA0063000),PA0063000,129.737484510348,129.73748252639288,19,99.99999847079268
PA0066000,Assen.,PA SANTA MARIA I E II (PA0066000),PA0066000,44.502314219724376,44.50231337500303,2,99.99999810184849
PA0068000,Assen.,PA JOAO BATISTA (PA0068000),PA0068000,31.95308853830662,31.95308729471589,4,99.99999610807346
