,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Castanhal,1030.361500270181,2207,816.3016635081558,79.22478307798819,34.33554604167184,34.33554429022683,2,4.206232306653113,7.72866203139437e-07,1.7609361748920888e-07,1,2.157212527687683e-08,0.0,0.0,0,0.0,0.15378100969754943,0.0,0,0.0
Chaves,12545.002182820761,1261,12242.898608259835,97.59184119573426,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Colares,384.41220162065156,151,75.99676144301716,19.76960177710822,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Conceição do Araguaia,5892.54512427721,6220,8411.782186364517,142.75295324779242,2115.725331942352,2267.785639944534,219,26.959633401119326,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Concórdia do Pará,701.5359026781927,1536,827.8282853057752,118.00226932726423,129.57735249422848,143.09549330627445,11,17.285649191537253,57.82856635256925,57.8003848088808,2,6.982170799772932,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Cumaru do Norte,17282.189757880456,1809,16414.213935956814,94.97762821677239,441.3021174430378,428.9634750252531,109,2.6133659321057703,0.0,0.0,0,0.0,4066.057547692553,1.8354579128138406,1,0.011182124955695288,0.0,0.0,0,0.0
Curionópolis,2384.628381986692,1011,2705.280893275008,113.44664492423648,174.56964724393626,191.2045674869318,33,7.067826781397916,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Curralinho,3621.577179544794,931,5290.430355463676,146.0808397331641,526.8268921009492,563.6075582833942,49,10.653340473546356,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1222.6981200052387,3753.7574783224813,10,70.95372637210505
Curuá,1433.1651979661756,730,1674.960310392321,116.87140552737955,672.1949271502119,1156.8200890615444,107,69.06552244157868,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Curuçá,676.9102433526203,723,152.12484488777264,22.473414515685917,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0356893550765098,0.0,0,0.0
Dom Eliseu,5286.44423164276,2666,5883.821283770832,111.30016748407911,139.95830157095358,159.1755928503914,21,2.705309783786953,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
