,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Gurupá,0.6963534933471528,1838,0.9532819524121294,136.8962691391124,0.2776948700766608,0.5646404142146891,55,59.23120780645807,0.0709117653350833,0.14380916512840317,7,15.085690520471594,0.0,0.0,0,0.0,0.11544920557889211,0.15804199961900425,12,16.578725656045826
Igarapé-Açu,0.0638664827924597,1166,0.045293538236858506,70.91910538434414,0.0,0.0,0,0.0,5.353037618584626e-05,0.0,0,0.0,0.0,0.0,0,0.0,4.234132638893435e-06,0.0,0,0.0
Igarapé-Miri,0.16232421060784036,3807,0.16094432491272742,99.14991997192175,0.02469505814897412,0.04166587929054105,29,25.888380539751566,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Inhangapi,0.03840676989437426,630,0.02497443762510161,65.02613391802004,2.9365084812891503e-05,2.9365083324474257e-05,2,0.11758055883092096,0.0003629950153376423,0.00036170826600673045,1,1.4483139578013173,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Ipixuna do Pará,0.4242177466930321,2755,0.5706085575778104,134.50841272576653,0.049491671231325106,0.0649921650461207,88,11.389973771512901,0.0,0.0,0,0.0,0.015123315749391799,0.0,0,0.0,0.0,0.0,0,0.0
Irituia,0.11259059291250359,2201,0.11510196317936645,102.23053294409286,0.020466913948521036,0.03016697211762125,32,26.208911893719183,0.0035224295302558675,0.000626785250049055,3,0.5445478363147628,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Itaituba,5.067280186015631,5844,2.387486314116417,47.11573519666932,0.14568544069184025,0.21800467571033558,134,9.131138236116623,0.0,0.0,0,0.0,0.29308015992518077,0.029520111461784626,39,1.236451546852519,2.6323445346196808,1.1752400599039938,933,49.224996723758714
Itupiranga,0.642702266386899,6627,0.8698536738390863,135.34317822296973,0.24406643329767036,0.3618284838367518,647,41.59647705341373,0.0,0.0,0,0.0,0.11421783496553417,0.003337032585426194,5,0.3836314872015485,0.014502084530549362,0.0024407273219530655,14,0.28059056314390807
Jacareacanga,4.367074115551514,648,1.6566039075311927,37.93395448984684,0.0503957989850727,0.07988137319062132,73,4.821995941665206,0.0,0.0,0,0.0,2.015962725757519,0.07383599550503032,4,4.457069983317062,0.8358095491979138,1.108801909223461,135,66.93222828840774
Jacundá,0.16367206055515574,1467,0.14251421398864503,87.07302486768612,0.011103278233609286,0.010295982567966237,7,7.2245302975790056,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.04898243614650247,0.024785512116592565,48,17.391607070553242
